Time [s],F_NEDC,V_NEDC,F_2,V_2,F_1,V_1
58,3926.2888,6.488515,253.16087,13.189038,1416.6072,15.096945
58,3926.2888,6.488515,253.16087,13.189038,1416.6072,15.096945
59,3934.4612,7.2754703,-10.10265,13.229268,1416.8251,15.152498
59,3934.4612,7.2754703,-10.10265,13.229268,1416.8251,15.152498
60,3943.5728,8.062416,295.8076,13.327476,1178.1118,15.154885
60,3943.5728,8.062416,295.8076,13.327476,1178.1118,15.154885
61,3953.6238,8.849353,108.21814,13.384335,956.9582,15.1015415
61,3953.6238,8.849353,108.21814,13.384335,956.9582,15.1015415
62,412.85962,8.88476,333.57114,13.466028,96.881905,14.860143
62,412.85962,8.88476,333.57114,13.466028,96.881905,14.860143
63,412.9067,8.88476,142.00597,13.5083685,-512.5302,14.477347
63,412.9067,8.88476,142.00597,13.5083685,-512.5302,14.477347
64,412.9067,8.88476,321.077,13.587659,891.5116,14.379973
64,412.9067,8.88476,321.077,13.587659,891.5116,14.379973
65,412.9067,8.88476,199.47224,13.649802,165.77473,14.137231
65,412.9067,8.88476,199.47224,13.649802,165.77473,14.137231
66,412.9067,8.88476,266.30054,13.727142,-484.14627,13.754842
66,412.9067,8.88476,266.30054,13.727142,-484.14627,13.754842
67,412.9067,8.88476,319.3745,13.798889,-2381.6848,12.968262
67,412.9067,8.88476,319.3745,13.798889,-2381.6848,12.968262
68,412.9067,8.88476,-223.79852,13.738174,-2028.3901,12.242506
68,412.9067,8.88476,-223.79852,13.738174,-2028.3901,12.242506
69,412.9067,8.88476,15.314829,13.703333,-1441.4279,11.653303
69,412.9067,8.88476,15.314829,13.703333,-1441.4279,11.653303
70,412.9067,8.88476,-97.40233,13.626652,-3170.45,10.698371
70,412.9067,8.88476,-97.40233,13.626652,-3170.45,10.698371
71,412.9067,8.88476,-381.45837,13.478784,-3017.3223,9.724618
71,412.9067,8.88476,-381.45837,13.478784,-3017.3223,9.724618
72,412.9067,8.88476,-266.87643,13.350594,-2867.7036,8.750899
72,412.9067,8.88476,-266.87643,13.350594,-2867.7036,8.750899
